bag	section	Top_depth	Bottom_depth	Center_depth	number_grains	e1	e1_weighted	e2	e2_weighted	e3	e3_weighted
415	5	228.07	228.16	228.11	777	0.164928	0.159654	0.362009	0.390507	0.473063	0.449839
415	6	228.16	228.25	228.2	1072	0.10859	0.100801	0.428461	0.431844	0.46295	0.467355
416	1	228.25	228.34	228.3	956	0.165584	0.140148	0.364378	0.411318	0.470038	0.448534
416	2	228.34	228.43	228.39	817	0.145447	0.141713	0.374242	0.399304	0.480312	0.458983
416	3	228.43	228.53	228.48	807	0.124956	0.144765	0.369427	0.405795	0.505616	0.44944
416	4	228.53	228.62	228.57	789	0.146893	0.143167	0.365138	0.411708	0.487969	0.445125
416	5	228.62	228.71	228.66	831	0.146982	0.16236	0.325255	0.399636	0.527764	0.438004
416	6	228.71	228.8	228.75	923	0.14792	0.154475	0.337129	0.383874	0.514951	0.461651
427	1	234.3	234.39	234.35	755	0.208041	0.166142	0.346031	0.405587	0.445928	0.42827
427	2	234.39	234.48	234.44	766	0.187294	0.163389	0.367911	0.403207	0.444795	0.433404
427	3	234.48	234.58	234.53	698	0.124711	0.135562	0.362303	0.410819	0.512987	0.45362
427	4	234.58	234.67	234.62	857	0.157439	0.153726	0.40667	0.401528	0.435891	0.444745
427	5	234.67	234.76	234.71	743	0.178769	0.157691	0.341133	0.405412	0.480099	0.436898
427	6	234.76	234.85	234.8	740	0.153341	0.144614	0.363403	0.395112	0.483256	0.460274
432	1	237.05	237.14	237.1	606	0.197036	0.194965	0.355735	0.36494	0.447229	0.440095
434	1	238.15	238.24	238.2	1072	0.177602	0.161059	0.398976	0.387601	0.423422	0.45134
436	1	239.25	239.34	239.3	1450	0.133182	0.133802	0.411934	0.380443	0.454884	0.485755
438	1	240.35	240.44	240.4	631	0.130691	0.14774	0.366567	0.389695	0.502742	0.462565
438	2	240.44	240.53	240.49	585	0.123922	0.144325	0.380323	0.410295	0.495755	0.44538
438	3	240.53	240.63	240.58	490	0.121889	0.133808	0.343315	0.414138	0.534796	0.452055
438	4	240.63	240.72	240.67	560	0.136331	0.159292	0.347229	0.367649	0.51644	0.473059
438	5	240.72	240.81	240.76	445	0.132527	0.167419	0.347335	0.405143	0.520137	0.427438
438	6	240.81	240.9	240.85	569	0.110528	0.123077	0.389794	0.399557	0.499678	0.477366
440	1	241.45	241.54	241.5	855	0.125281	0.120681	0.407472	0.419901	0.467247	0.459418
440	2	241.54	241.63	241.59	595	0.156363	0.159439	0.314435	0.373141	0.529202	0.46742
440	3	241.63	241.73	241.68	569	0.157869	0.163969	0.331434	0.385509	0.510697	0.450522
440	4	241.73	241.82	241.77	526	0.175483	0.167906	0.336686	0.356093	0.487831	0.476
440	5	241.82	241.91	241.86	504	0.119525	0.142687	0.331803	0.373471	0.548672	0.483842
440	6	241.91	242	241.95	736	0.123558	0.138718	0.34491	0.421888	0.531531	0.439394
442	1	242.55	242.64	242.6	1220	0.114164	0.112105	0.406273	0.429556	0.479563	0.458339
444	1	243.65	243.74	243.7	882	0.163038	0.140436	0.34089	0.395816	0.496072	0.463748
446	2	244.84	244.93	244.89	684	0.185561	0.178571	0.35243	0.367388	0.462009	0.454041
448	1	245.85	245.94	245.9	1005	0.150692	0.145487	0.399393	0.390391	0.449914	0.464122
450	1	246.95	247.04	247	1024	0.159906	0.146918	0.416545	0.407715	0.423549	0.445368
452	1	248.05	248.14	248.1	706	0.168496	0.172903	0.365916	0.378111	0.465587	0.448986
455	1	249.7	249.79	249.75	684	0.120038	0.127328	0.357291	0.400539	0.52267	0.472133
455	2	249.79	249.88	249.84	826	0.110511	0.140273	0.301385	0.414995	0.588104	0.444732
455	3	249.88	249.98	249.93	716	0.115391	0.124586	0.38215	0.428847	0.502459	0.446567
